Expression,P25,Median,P75,IQR,N,Study,Population
Always,99.6,99.7,99.8,0.3,238,Mosteller & Youtz 1990,Science writers
Almost always,89.7,91.7,95.2,5.5,238,Mosteller & Youtz 1990,Science writers
Certain,98.7,99.6,99.8,1.1,238,Mosteller & Youtz 1990,Science writers
Almost certain,87.5,90.2,95.0,7.5,238,Mosteller & Youtz 1990,Science writers
Very frequent,75.3,82.6,89.7,14.5,238,Mosteller & Youtz 1990,Science writers
High chance,77.5,80.4,89.1,11.7,238,Mosteller & Youtz 1990,Science writers
Frequent,60.0,72.2,75.3,15.2,238,Mosteller & Youtz 1990,Science writers
Better than even chance,53.3,57.6,60.2,6.9,238,Mosteller & Youtz 1990,Science writers
Even chance,49.7,50.0,50.2,0.5,238,Mosteller & Youtz 1990,Science writers
As often as not,49.8,50.0,50.3,0.6,238,Mosteller & Youtz 1990,Science writers
Less than an even chance,39.6,40.2,45.0,5.4,238,Mosteller & Youtz 1990,Science writers
More often than not,57.1,59.8,60.4,3.3,238,Mosteller & Youtz 1990,Science writers
Very high probability,89.8,92.5,95.2,5.4,238,Mosteller & Youtz 1990,Science writers
High probability,77.1,82.3,87.2,10.1,238,Mosteller & Youtz 1990,Science writers
Moderate probability,40.1,52.4,58.7,18.5,238,Mosteller & Youtz 1990,Science writers
Very likely,80.1,87.5,90.2,10.1,238,Mosteller & Youtz 1990,Science writers
Likely,62.6,71.1,77.6,15.0,238,Mosteller & Youtz 1990,Science writers
Probable,64.7,70.2,77.7,13.0,238,Mosteller & Youtz 1990,Science writers
Very probable,81.5,89.7,90.4,8.9,238,Mosteller & Youtz 1990,Science writers
Usually,65.6,75.1,82.2,16.7,238,Mosteller & Youtz 1990,Science writers
Very often,77.5,82.8,89.9,12.4,238,Mosteller & Youtz 1990,Science writers
Often,65.0,72.5,75.4,10.4,238,Mosteller & Youtz 1990,Science writers
Possible,7.5,38.5,50.2,42.7,238,Mosteller & Youtz 1990,Science writers
Not infrequent,32.7,49.6,57.3,24.6,238,Mosteller & Youtz 1990,Science writers
Unlikely,9.8,17.2,22.7,13.0,238,Mosteller & Youtz 1990,Science writers
Improbable,7.6,12.5,22.3,14.7,238,Mosteller & Youtz 1990,Science writers
Very unlikely,2.7,5.0,9.8,7.1,238,Mosteller & Youtz 1990,Science writers
Very improbable,1.5,4.8,7.5,5.9,238,Mosteller & Youtz 1990,Science writers
Doubtful,,,,,238,Mosteller & Youtz 1990,Science writers
Low probability,7.8,15.0,22.3,14.5,238,Mosteller & Youtz 1990,Science writers
Very low probability,1.9,4.9,7.6,5.7,238,Mosteller & Youtz 1990,Science writers
Poor chance,8.4,10.3,19.7,11.3,238,Mosteller & Youtz 1990,Science writers
Low chance,5.0,9.8,12.8,7.8,238,Mosteller & Youtz 1990,Science writers
Sometimes,17.5,25.0,35.0,17.5,238,Mosteller & Youtz 1990,Science writers
Occasionally,12.5,20.0,27.7,15.2,238,Mosteller & Youtz 1990,Science writers
Once in a while,9.9,15.3,22.4,12.5,238,Mosteller & Youtz 1990,Science writers
Now and then,9.8,15.1,25.0,15.1,238,Mosteller & Youtz 1990,Science writers
Infrequent,10.1,17.3,22.6,12.5,238,Mosteller & Youtz 1990,Science writers
Very infrequent,3.6,5.2,10.0,6.4,238,Mosteller & Youtz 1990,Science writers
Not often,10.3,19.7,24.8,14.5,238,Mosteller & Youtz 1990,Science writers
Not very often,5.3,10.1,19.6,14.3,238,Mosteller & Youtz 1990,Science writers
Unusually,9.9,17.4,26.1,16.3,238,Mosteller & Youtz 1990,Science writers
Seldom,7.4,10.2,17.5,10.1,238,Mosteller & Youtz 1990,Science writers
Very seldom,3.2,4.9,7.7,4.5,238,Mosteller & Youtz 1990,Science writers
Rarely,3.6,7.2,10.0,6.5,238,Mosteller & Youtz 1990,Science writers
Very rarely,1.2,3.0,5.0,3.8,238,Mosteller & Youtz 1990,Science writers
Impossible,0.2,0.3,0.5,0.3,238,Mosteller & Youtz 1990,Science writers
Almost never,1.2,2.9,4.6,3.4,238,Mosteller & Youtz 1990,Science writers
Never,0.1,0.3,0.4,0.3,238,Mosteller & Youtz 1990,Science writers
Not unreasonable,23.5,37.6,52.6,29.1,238,Mosteller & Youtz 1990,Science writers
Might happen,19.9,37.6,50.1,30.2,238,Mosteller & Youtz 1990,Science writers
Less often than not,34.8,40.0,42.7,7.9,238,Mosteller & Youtz 1990,Science writers
Liable to happen,59.8,68.2,77.7,17.9,238,Mosteller & Youtz 1990,Science writers
